class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
PS_EtherLinked	0.661184777309043	0.440717010302188	0.438960680919824	0.376066732203032	0.225928736447011	0.313987218369846	0.282555597311723	0.03944206478711	0.0555110541448215	0.805721870169915
PS_LongChainFA	32.878868065878	22.1501137580758	21.3258994072256	19.2862684632927	13.0657752612846	16.0730667904964	14.7172485059925	0.0509332897646519	0.0685120357896202	0.709816761116117
PS_MUFA	1.69948276856812	1.24640519028181	1.31355408547195	1.18681625206974	0.89704921269999	0.931180536857952	0.911297152812041	0.0298351385682709	0.044460206493894	0.5763011354564
PS_MediumChainFA	0.0286802550651236	0.0131696848305023	0.0144357655408885	0.00960443250942983	0.0086836555036668	0.0106191486021904	0.0100998930511256	0.210017245208952	0.236463861272301	0.749076545996295
PS_PUFA	7.52008871733729	6.08920013157261	6.0610498784651	5.7012480942153	5.19084620394499	5.88084020880996	5.67459924383332	0.161751928952287	0.184859347374042	0.184335113980754
PS_PUFA_2	0.646318204908738	0.462699824794154	0.450871518078501	0.397976288583912	0.285960713918576	0.359131495191901	0.325502922743562	0.0482907903306589	0.0655375011630371	0.597302878516511
PS_PUFA_3	1.06468288509538	0.863529015517417	0.87816623863918	0.796310004629762	0.551219821127079	0.648571277748838	0.608166036544041	0.0083290045190975	0.0142248167067733	0.579675801709674
PS_PUFA_4	0.162200320100071	0.13256382528164	0.14382042694558	0.125053604416102	0.106491045840871	0.121470693675911	0.114665656120489	0.0385218672120344	0.0547226524881236	0.303091322975424
PS_PUFA_5	0.767289740448751	0.687703237396615	0.661757234247923	0.691658195440281	0.46958949186627	0.538852355157782	0.525897875516866	0.00179318692085456	0.00446826904868677	0.457097303405457
PS_PUFA_6	4.87959756678435	3.94270422858279	3.92643446055392	3.69025000114525	3.7775851311922	4.21281438703552	4.10036675290836	0.799167324625272	0.80445982346385	0.0281781552826924
PS_SFA	34.2356950774857	22.5655954233568	21.813738205499	19.4659667822904	12.0999775169258	15.1515004550855	13.7559937168713	0.0420991440129386	0.0581733626360606	0.843049325482068
PS_VeryLongChainFA	10.6300364880431	7.78918113561429	7.8974297224695	7.10271478047851	5.14453926172868	5.929698912891	5.65943711920168	0.0328753260729941	0.0475909482199534	0.582892351843207
LIPID_CLASS_Cer	6.1598484447253	6.03517724846026	4.59874706500895	6.12137656552501	2.52505434049312	1.64525065642656	1.67843111386029	0.000515127134735822	0.0019527474011111	1.55506738492821
LIPID_CLASS_ChE	0.00537991479835933	0.00193621974940883	0.000907563520766005	0.00679509876267778	0.00674759363440056	0.00707078315053997	0.0062469615906919	0.124567838071311	0.152696059571285	-0.832973742827468
LIPID_CLASS_DG	17.5786982779994	17.216841306027	21.9629221177148	19.9386212244842	9.44280370503773	6.9571070372293	6.71600420621845	0.000458623572012778	0.0019527474011111	1.31524774160611
LIPID_CLASS_Hex1Cer	0.394498672843619	0.514804551529042	0.667034618340246	0.604602581919227	0.34688950600486	0.3107941594804	0.285196102935408	0.0252100342539496	0.0379398535306964	0.794767139975038
LIPID_CLASS_LPC	0.108237653588405	0.122685954498551	0.125480455261869	0.12575147984919	0.0539016030749592	0.0510120685111378	0.0522877983355175	0.000336582496759483	0.00167139042244893	1.20184642747985
LIPID_CLASS_LPE	0.135048770379311	0.138839740861302	0.142300496662651	0.14548607719812	0.0995093644993979	0.0945683392189341	0.0874965529315967	0.000631937839517146	0.00218305799105923	0.581182870254847
LIPID_CLASS_MG	531.275768197908	635.457178847045	486.604246677187	631.680548078445	218.558683523788	209.967619502748	193.64182067366	0.00174587630626185	0.00442288664253002	1.46179148119465
LIPID_CLASS_PC	12.5736824347901	13.3334708269051	11.9391955226335	13.2280306427783	13.1126866781548	13.2144583623829	13.3409257627459	0.256289429668815	0.286441127276911	-0.0504159653951951
LIPID_CLASS_PE	4.44530192557489	4.99294864903385	4.38016399702181	4.89015019729611	6.36779761078642	6.70217934082327	6.84280433498746	0.000248466793254689	0.00164204141629186	-0.505033354383896
LIPID_CLASS_PG	0.481912934259124	0.506322718525237	0.54992598804257	0.45086936552793	0.13889691878034	0.146079643715983	0.150822888957557	0.00034826542654502	0.00167139042244893	1.77529198114036
LIPID_CLASS_PI	1.19341640892414	1.31118111218546	1.26683248366846	1.32300762653797	1.2414058853433	1.23758408276464	1.2810354133639	0.564840492872894	0.588053115867671	0.0231429979500143
LIPID_CLASS_PS	21.7687924044931	14.9762322892603	14.618882447618	13.1992938381403	9.10949908925845	11.0066924259948	10.1933927591226	0.0464533227169253	0.0636117572339878	0.675900544217282
LIPID_CLASS_SM	2.1057191871476	2.28488258132403	2.39438683410321	2.28475744075054	0.848178132457932	0.909763036663812	0.978645660495122	1.13198428208815e-05	0.000211065791673813	1.31364702319564
LIPID_CLASS_TG	6.26390360766997	6.41883665559354	4.74172572044979	7.17009645363721	1.52957543127592	1.69796478067774	1.56308044591829	0.00276518927554445	0.00609143144757618	1.94501740472383
Hex1Cer_DLinked	0.394498672843619	0.514804551529042	0.667034618340246	0.604602581919227	0.34688950600486	0.3107941594804	0.285196102935408	0.0252100342539496	0.0379398535306964	0.794767139975038
Hex1Cer_LongChainFA	0.417687854048976	0.540654192963979	0.698568501837578	0.633095425887305	0.38351011901997	0.360541704416856	0.330768489963716	0.0352786173177141	0.0505882059650241	0.676218370396842
Hex1Cer_MUFA	0.0856946374068879	0.15160182090665	0.195356860537704	0.188354586305746	0.115093272080211	0.110666566330896	0.102230038405573	0.164065677680871	0.186104350802182	0.505922846421599
Hex1Cer_PUFA	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.31026889298975	0.261046614543944	0.239623715907099	0.0175502055448874	0.0275013530187927	0.938233679028646
Hex1Cer_PUFA_6	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.31026889298975	0.261046614543944	0.239623715907099	0.0175502055448874	0.0275013530187927	0.938233679028646
Hex1Cer_SFA	0.331993216642088	0.389052372057329	0.503211641299875	0.444740839581559	0.268416846939759	0.24987513808596	0.228538451558143	0.0153809833475882	0.0254120594438414	0.745092156789566
Hex1Cer_VeryLongChainFA	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.31026889298975	0.261046614543944	0.239623715907099	0.0175502055448874	0.0275013530187927	0.938233679028646
Cer_DLinked	5.74799208683175	5.67898372512513	4.35103731328512	5.82234632241675	2.42290805989107	1.57086860779819	1.59582643956485	0.0005305887089223	0.0019527474011111	1.53520006844783
Cer_LongChainFA	6.1927089751061	6.06923167840341	4.63127258655978	6.15558561189119	2.53767196222073	1.65445255479873	1.68994796665654	0.00050403884305947	0.0019527474011111	1.55525760228589
Cer_MUFA	0.0686284873244248	0.0709843088084736	0.0546504925789963	0.0753782430662154	0.0916841091354874	0.0880114521433108	0.0807149453515862	0.0174113712004578	0.0275013530187927	-0.364782430500734
Cer_PUFA	0.0216387520213377	0.0185583614217264	0.0141210902364428	0.02376604172093	0.0107213569443392	0.00538417008649185	0.00695138673476739	0.00643210257360957	0.0116390427522459	1.34479457732416
Cer_PUFA_3	0.0216387520213377	0.0185583614217264	0.0141210902364428	0.02376604172093	0.0107213569443392	0.00538417008649185	0.00695138673476739	0.00643210257360957	0.0116390427522459	1.34479457732416
Cer_SFA	12.2249913406219	11.9765694820069	9.12429874154993	12.1394427449074	4.94542316913627	3.19512723180212	3.26671949057624	0.000495155535195102	0.0019527474011111	1.57977489450077
Cer_TLinked	0.411856357893553	0.356193523335126	0.247709751723828	0.299030243108261	0.102146280602048	0.0743820486283665	0.0826046742954362	0.00502026780244543	0.00991013903859358	1.92803007757804
Cer_VeryLongChainFA	6.12698791434451	6.00112281851711	4.56622154345812	6.08716751915884	2.51243671876551	1.63604875805439	1.66691426106403	0.000526552940652898	0.0019527474011111	1.55487496123886
ALL_DLinked	8.22078346898678	8.45023025717141	7.38302318702536	8.68156184850842	3.61366191845935	2.78785945955193	2.85505218374999	5.14643584364547e-05	0.000521505498822741	1.40727270247199
ALL_EtherLinked	2.66599637768524	2.69502441250821	2.44647255787854	2.64243084264053	2.23281672440254	2.5651791806706	2.5585977153458	0.283179616123956	0.314184683582783	0.0913451730582421
ALL_LongChainFA	652.659544424933	748.073383431136	600.66552026727	748.360799390475	288.943008692605	278.446916597937	260.417669518512	0.00104131498639414	0.00293110885059091	1.31690042123098
ALL_MUFA	50.2135929835909	59.0281300851893	51.2495740513853	62.0568279728957	27.823351401971	28.2117069873955	26.5364053164028	0.00191938750858296	0.00457967212798298	1.01536466271394
ALL_MediumChainFA	0.533430154460947	0.539917202976985	0.488416431893146	0.526281747467828	0.650103894748502	0.699276873918355	0.710223657113522	0.00274371913948164	0.00609143144757618	-0.395251599635755
ALL_PUFA	213.323176996431	253.038401193402	185.864883045753	263.069155538583	99.8074731877556	102.053162016489	90.8429273182178	0.00435135519725591	0.00870271039451181	1.22975996747578
ALL_SFA	418.256859705027	463.120530072684	386.874175660517	450.280948049243	180.130352763796	167.161922969217	161.965635047246	0.000263841819920779	0.0016709981928316	1.33967125630465
ALL_ShortChainFA	2.47929236298981e-05	1.48755582199734e-05	1.96220830265017e-05	1.58066322115386e-05	2.73590387019828e-05	3.84000664218308e-05	5.00484056897864e-05	0.080750811218005	0.104017994111328	-1.03993535608194
ALL_TLinked	0.43928283572974	0.384634124141917	0.277145330427044	0.329174739686362	0.106460060496569	0.0779483930188395	0.0872206935408317	0.00347337270934887	0.00743595284254969	1.98150656135061
ALL_VeryLongChainFA	30.5268873688813	28.7075577857642	24.7003381810393	28.6631921165113	19.9808521650657	20.327750654704	20.2836665856151	0.00722241022947851	0.0126184638492038	0.478937742278346
SM_DLinked	2.07829270931142	2.25644198051724	2.36495125539999	2.25461294417244	0.843864352563411	0.906196692273339	0.974029641249726	1.18113445654935e-05	0.000211065791673813	1.30176824405188
SM_LongChainFA	3.4789854671128	3.77534456167786	3.94386017770097	3.78631774436274	1.44324397626552	1.53299327963944	1.66115281722	1.06995959914889e-05	0.000211065791673813	1.2770492223685
SM_MUFA	1.83138770497149	1.98833758411385	2.11228508274545	1.98693745802712	0.777746394417043	0.864215860880812	0.919347921703144	2.01025085200646e-05	0.000254631774587484	1.21338928139427
