class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
Hex1Cer_LongChainFA	0.551209441010201	0.678156286251382	0.626532800199434	0.558437198120878	0.303027418804991	0.324989010168245	0.263424146336288	0.321984778134289	0.000614924324661805	0.00252617560401606	0.992540943449111
Hex1Cer_MUFA	0.161499195054341	0.187764121220368	0.178336169487728	0.17275992647273	0.0897920000972201	0.0927408429519502	0.0799023991745807	0.0963237606713385	3.95189745111529e-05	0.000955240764521594	0.965080442003714
Hex1Cer_PUFA	0.500955661303326	0.622136941351813	0.56967107450899	0.507079052203256	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.000216342657894545	0.00121792903703596	1.3163738788222
Hex1Cer_PUFA_6	0.500955661303326	0.622136941351813	0.56967107450899	0.507079052203256	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.000216342657894545	0.00121792903703596	1.3163738788222
Hex1Cer_SFA	0.389710245955859	0.490392165031013	0.448196630711706	0.385677271648149	0.213235418707771	0.232248167216295	0.183521747161708	0.22566101746295	0.00131039452834532	0.00432999931105409	1.00391394434129
Hex1Cer_VeryLongChainFA	0.500955661303326	0.622136941351813	0.56967107450899	0.507079052203256	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.000216342657894545	0.00121792903703596	1.3163738788222
Cer_DLinked	6.91248432980681	6.15509142256782	3.43800582415077	5.53219431606214	1.33880984568824	1.8287295308747	0.963469615873066	1.76302932083854	0.00964446554555102	0.0168501007232616	1.90265028724855
Cer_LongChainFA	7.29255514933133	6.48247559419402	3.8191646450866	6.03645836254784	1.40849986495613	1.92931348804821	1.01866895737391	1.85630117577286	0.00729865962925111	0.0136962501684712	1.92734785984864
Cer_MUFA	0.106396461330758	0.0945226764282577	0.107615988955199	0.107302239809457	0.0652797450070926	0.0809481440574408	0.063391931434638	0.0782143614623349	0.00156729791439475	0.00476458565976005	0.530781471868865
Cer_PUFA	0.0179632806059744	0.019365931371948	0.00572520757721065	0.0124723394622867	0.00535536286977656	0.00690766379631619	0.00310917249075814	0.00655466215384418	0.0687468651583242	0.0863596983807048	1.34048387698284
Cer_PUFA_3	0.0179632806059744	0.019365931371948	0.00572520757721065	0.0124723394622867	0.00535536286977656	0.00690766379631619	0.00310917249075814	0.00655466215384418	0.0687468651583242	0.0863596983807048	1.34048387698284
Cer_SFA	14.3756572745618	12.7992972326379	7.4859838894696	11.871169643648	2.73058459872446	3.74827686762348	1.9570103137197	3.60459432436389	0.00740831553830402	0.0137324873392953	1.95033530481304
Cer_TLinked	0.340458428354683	0.304289986712402	0.364253945942088	0.465830824177806	0.062569745578552	0.0901388310943035	0.049310042473687	0.082427542681725	0.00218486028269706	0.00582629408719216	2.37432426467287
Cer_VeryLongChainFA	7.21333036699165	6.43628722436643	3.7853548950991	5.95959191793205	1.39425931757745	1.90842323588981	1.0068903593196	1.83461255126767	0.00725737491484324	0.0136962501684712	1.92887969665073
