m.z	class	FattyAcid	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
764.5577	PC	(14:0e/22:6)	0.0433388509843688	0.040098074953942	0.0394124235978531	0.0430392790849596	0.0615928871240955	0.0649247942360167	0.0578338857924437	0.00329691389498655	0.0101497849195657	-0.567282184525107
734.5719	PC	(16:0/16:0)	0.286228897109226	0.292164829048758	0.294396076453288	0.280142028476491	0.633242801772198	0.616626627485291	0.607266629594341	7.56608864989243e-05	0.0011002189007889	-1.10280980030435
880.5867	PC	(22:5/22:6)	0.0437944071646369	0.0407896861303486	0.0435058064226954	0.0422370948538749	0.0802040180580702	0.0821830677049943	0.0898168730430291	0.00339807144415649	0.0103870127122798	-0.981321319697756
692.5238	PC	(15:0/14:0)	0.00865654521412437	0.00900560071744888	0.00890055936495512	0.00888849308078249	0.015379969046588	0.0159792988903484	0.0149593484370691	0.0011829314035851	0.0050194479409339	-0.800795260637224
884.6122	PC	(22:3/22:6)	0.00319999818552474	0.00373060787627028	0.00493001410079071	0.00398246355631094	0.00221235186178552	0.00182778761489066	0.00214849181421929	0.00980227667988018	0.0227138776829482	0.941123395479313
774.5089	PC	(22:6/14:2)	0.000171355643042175	5.49046443194065e-05	4.56531682174068e-05	0.000200027660801258	0.000352387555942478	0.000328285191310074	0.000326562271112396	0.010075721874407	0.023099128339731	-1.5087590739333
792.5552	PC	(15:0/22:6)	0.0183200583014859	0.0173386365704904	0.0174840921804538	0.0193533043814295	0.0353335084318608	0.0346365330864202	0.0349037145786108	4.42137810084506e-06	0.000238201745183028	-0.94771607766131
814.6338	PC	(20:0/18:2)	0.151904663450563	0.15995115138937	0.15099023264221	0.150934437319335	0.0925467635720909	0.0895915149432797	0.100470278226484	0.000180913731102046	0.00162445454385379	0.703880128808028
766.5407	PC	(15:0/20:5)	0.00758407505074682	0.00651861361042959	0.00571043703510465	0.00835114342773761	0.0085025512510915	0.00883343852704006	0.00856428544897567	0.0693208486647162	0.0970041745925087	-0.294138894499368
802.6341	PC	(16:1/21:0)	0.0181082752685159	0.0202452236925957	0.0214130278593909	0.0210963073530306	0.00917002739826251	0.00914087578715823	0.00893937891524976	0.000594456590041535	0.00332741286114158	1.15416810540018
836.6195	PC	(18:0/22:5)	0.0363846223463426	0.0343077917641354	0.031617713090066	0.0384227255678615	0.0185544061278841	0.0182741475781715	0.0181587211486275	0.0013139394929561	0.00524359186540815	0.940751958129665
764.5248	PC	(22:6/13:0)	0.000538315608134484	0.000352369104606581	0.000388421757234521	0.0006361126481154	0.000599641721945227	0.000628658964828824	0.000613379610890193	0.132866593988676	0.157756203881872	-0.358550682323249
744.5558	PC	(15:0/18:2)	0.0301874377141252	0.031825480333659	0.0337158353149654	0.0334619286503157	0.0490045596186335	0.036409370609169	0.0373807273683705	0.161831616153983	0.186995781668544	-0.341783276106159
858.6017	PC	(20:2/22:6)	0.00484131183571122	0.00521280066066623	0.00565974296149228	0.00487651337676749	0.00824973394418062	0.00679077625278825	0.00752823902050566	0.0165751780851358	0.0350191262484977	-0.547394291277167
840.6504	PC	(16:1/24:2)	0.00267278743313128	0.0028032953397025	0.0031475086047452	0.00377350498230565	0.00238353492768987	0.00197993476349338	0.00224225964188774	0.0280925812050991	0.052189234911197	0.493174991637882
746.5727	PC	(17:1/16:0)	0.141636024445461	0.155765238090209	0.158525007435332	0.150692309949678	0.178784147545804	0.156680840591507	0.1539814670489	0.280642259423284	0.310942966096235	-0.105398852285129
702.5091	PC	(18:0/12:2)	0.000998697308663693	0.000950604780659113	0.000941651000794992	0.0011257328998883	0.00143624969123613	0.00147702343804354	0.00144934879573733	0.0010432738285454	0.00463459411799866	-0.534227269988636
770.5708	PC	(17:1/18:2)	0.0174455151420095	0.0165443733901742	0.0216205849274568	0.0221057711257123	0.0172630156363037	0.017056852632738	0.0166954956531952	0.186314698295769	0.214137693241271	0.19224689084247
778.5402	PC	(16:1/20:5)	0.0183250078873458	0.0153605980931628	0.0136837533485606	0.0212434446166875	0.0237461712305238	0.0216542501050376	0.0229058009497113	0.0372187739017181	0.0634043144333617	-0.408576679441176
800.6198	PC	(19:0/18:2)	0.0193434689070159	0.0185746885248957	0.0190501972778955	0.0206408852615023	0.0150950867534106	0.0140484419917208	0.0140611147962067	0.000300632734979887	0.00223401222028157	0.430004548741052
818.5698	PC	(17:1/22:6)	0.0215174566777877	0.0208723358240736	0.0211523557754825	0.0220717246765421	0.038858672084273	0.0381381400952117	0.0408204157771062	0.0008245492257578	0.00413233391048386	-0.875671517210181
852.5561	PC	(20:5/22:6)	0.0459705741982425	0.0355046201930865	0.035282305024016	0.0502002754222793	0.0492477101591282	0.0603251183580895	0.060282514395448	0.0383074334574021	0.0650019835438596	-0.439860821202389
706.5397	PC	(16:0/14:0)	0.184614729429917	0.160885984738423	0.164505710217627	0.172667791437036	0.376895034427035	0.416329484519489	0.391875170936273	0.000533063393235451	0.00326603377964635	-1.21077675382501
778.5391	PC	(16:1/18:2)	0.0178755619547957	0.0163156531479773	0.018076198927391	0.0201900302752818	0.0375707294400956	0.0175329283005026	0.0198498047948684	0.39113694728734	0.419353294230954	-0.463898705013433
700.4935	PC	(8:0/22:3)	0.00011701871354077	0.000111732608504684	0.000101776661058937	0.000157429919006083	0.000194508028858449	0.00019459437606173	0.000198938445768694	0.00851164435715908	0.0206096557187391	-0.684197193949218
