m.z	class	FattyAcid	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
786.5084	PE	(18:2/22:6)	0.0669924847971252	0.0631707260310584	0.068124615327222	0.0611621324880926	0.0593127398939733	0.057342146297423	0.0627775223590158	0.033512898197693	0.0989319118027786	0.136029696661717
742.5414	PE	(18:1/18:1)	0.109172828046168	0.0931674643928808	0.0979697962356898	0.0955633423912642	0.100792135293782	0.0857180910305524	0.100778705104143	0.499546866679188	0.629455986459472	0.0647026154348407
766.5396	PE	(18:1/20:3)	0.00364395727566715	0.00131993678422422	0.00164763227973329	0.00271057852487751	0.00231990847328409	0.002407550184571	0.00240400552195917	0.758318544299564	0.853355855334496	-0.158936905726165
812.5261	PE	(20:3/22:6)	0.0509227293121965	0.0335053378917923	0.0358026768206986	0.0385731467034431	0.0333947573732568	0.0349551890004871	0.0342433803179753	0.475201194691163	0.602684862671627	0.183445858266305
740.5249	PE	(16:0/20:3)	0.00572186376254195	0.00221772854198584	0.00253759343829048	0.00422091506194183	0.00348586648639537	0.00376043425551988	0.00365978079148264	0.820947714835225	0.893711958827103	-0.114836826072323
688.4932	PE	(16:0/16:1)	0.051747503542087	0.0562600153563846	0.0567308991369898	0.0372297641225346	0.0366522829707617	0.0320603584846315	0.0390846474892458	0.000502584917980192	0.0120341166471924	0.598892496241278
774.5462	PE	(18:2e/22:5)	0.0175459304228858	0.0195316081928475	0.0197866957882519	0.0197201125162058	0.0191156978946459	0.0189723461866639	0.0179785406434751	0.992530149762062	0.994819311333648	0.000614396922785227
762.5084	PE	(16:0/22:6)	1.41923294791668	1.58752716917279	1.6303762160974	1.00726848423791	1.05188457818148	0.999286585224008	1.09271267121521	0.00954196384740975	0.0467339365708364	0.574759772338291
688.4934	PE	(18:1/14:0)	0.00286371566180219	0.00294614682849965	0.00281482073110455	0.00212638880381368	0.00221102766939166	0.00202607582775383	0.00219448171501727	5.35074337717139e-05	0.00417699727370364	0.426239669242133
740.5242	PE	(18:1/18:2)	0.0330889851843407	0.0251683074761538	0.0275623639025799	0.0278648607951649	0.0278189962992359	0.0230329841629663	0.0285109172359268	0.545787493595852	0.668279573124467	0.0937391014706433
690.509	PE	(16:0/16:0)	0.0184220440064395	0.0174351612336421	0.0186791765819597	0.0119669449235423	0.0134228107652551	0.0117550706813219	0.0146858295458411	0.00172760598279659	0.0240192960833978	0.488450837001138
744.5559	PE	(18:0/18:1)	0.118065225081159	0.127342985489096	0.127903073611287	0.104335669670872	0.11083376748944	0.104717046924195	0.111956496852361	0.0157830077585937	0.0590201204784376	0.204909776689307
834.5088	PE	(22:6/22:6)	0.0710468331466134	0.0937981528597819	0.0915078664313782	0.0737041010414343	0.0677932178731818	0.0932312848266041	0.0703484268525557	0.374753071311744	0.511134727010639	0.163994887213444
