m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
801.6871	SM	(d18:1/23:0)	0.0101094124126473	0.0107248295063321	0.0157842290895515	0.0111889713328288	0.00350931733050774	0.00304048077601702	0.00335227851887922	0.00650278900579279	0.0109909884764576	1.85639470699247
725.5589	SM	(d18:1/18:3)	0.201250441216761	0.221638745533091	0.239353253970415	0.209582468354918	0.0360997444853201	0.0342349923408331	0.0331404763421631	0.000176682415341666	0.00107064561984417	2.65971570386236
685.5304	SM	(d18:2/15:1)	0.000151918390030968	0.000143961569693775	0.000208490503884003	0.000167095499070066	9.88127114659375e-05	0.000150186760473666	0.000145712321906022	0.163926445113474	0.1879050474572	0.35147714340594
815.7032	SM	(d18:1/24:0)	0.147559052503213	0.161466463885817	0.156928204135998	0.162781043604076	0.039457117509203	0.0302220921945917	0.0328886543560369	1.10856423259574e-06	0.000119447796062191	2.20083525053301
833.7101	SM	(t18:0/24:0)	0.0055788662438982	0.00551609180772783	0.00469639099397738	0.00618679589169965	5.64983915533605e-05	7.69751702653459e-05	0.000135822878874068	0.000371948425554731	0.00152675972775323	5.93569314964061
675.5453	SM	(d14:0/18:1)	0.236238564699559	0.273659545749283	0.253968738849689	0.263322773335338	0.102076249240366	0.116208985686142	0.132628014417232	0.000138575960628115	0.000932512773466857	1.1344787079273
713.5595	SM	(d18:2/17:1)	0.00125865486065491	0.00114178511916575	0.00277791332209267	0.00158169851177051	0.000566698978502378	0.000249118397877842	0.000244559543822788	0.033039132044885	0.0431754301547694	2.2574196306188
721.5864	SM	(t18:0/16:0)	0.00883544743283108	0.00900094732632682	0.00984231164591866	0.0098276918594658	0.00322620720946937	0.00283322686424531	0.00369012617067712	1.54438407790202e-05	0.000246529458361397	1.52869017608803
711.543	SM	(d17:1/18:3)	0.00844715355125018	0.00849601170123919	0.0142410544146601	0.00905209315272637	0.00948300230789043	0.00625596107717473	0.00700988076448489	0.207751328505708	0.23440005912555	0.407667361057923
841.7194	SM	(d20:0/24:2)	0.00728473964966203	0.00775038994388221	0.0111181052698208	0.00741259735420588	0.00250748709953162	0.00317099852504256	0.00327484334781406	0.00744148517379594	0.0121487882950987	1.4914598118281
647.515	SM	(d18:1/12:0)	0.000861829217899155	0.00103484211473064	0.00154185316756569	0.000997301268647124	0.00049533946029036	0.000661306245466121	0.000717154904829565	0.0402973481628363	0.0520004702340792	0.828197755599164
699.5422	SM	(d18:2/16:1)	0.0259517153605785	0.0256531708137475	0.0214403705231689	0.025456226589441	0.00830219434896407	0.00628640263973192	0.00756911877970965	6.84248520341417e-05	0.000650052448906823	1.73729878821364
697.5272	SM	(d14:0/20:4)	0.0882705416222121	0.0906955787276724	0.072606014530024	0.0869023945492673	0.0465859340078777	0.0504667414599583	0.0564466477004322	0.00120462028754499	0.00322479095609869	0.72577747999227
813.6881	SM	(d18:1/24:1)	0.0444530720991371	0.0455203780666206	0.0534765335086114	0.0420946423140328	0.0300522550546816	0.0475148403328075	0.043120603026621	0.368738507293692	0.394358056187546	0.205450085932254
677.5604	SM	(d14:0/18:0)	0.0703677793760813	0.0780177997196899	0.0799652960603731	0.0792123199746169	0.0149573706860243	0.0126434959579014	0.015016311303977	2.22605373805158e-05	0.000309493277774269	2.43633840467444
705.5921	SM	(d18:0/16:0)	0.0663555808650111	0.0695794111456113	0.0819721075195146	0.0738613944591446	0.0223521005156877	0.0188601285383179	0.0216915800027065	0.000252485544361384	0.0012991756262733	1.79856732063356
835.6701	SM	(d20:0/24:5)	0.0133021623786078	0.013760960214465	0.0153922865686363	0.0124617448687981	0.0104724855696071	0.0167466059708707	0.0158135398240264	0.788164473744791	0.808806876628583	-0.0632116976573746
661.5301	SM	(d18:1/13:0)	0.00164756938987877	0.00191058881186207	0.00219574267857284	0.00174953688450673	0.000656224290612018	0.000745518619912071	0.000796397044121865	0.00122494069200001	0.0032318830579317	1.35623098598965
741.5928	SM	(d18:2/19:1)	0.0263863251205135	0.0278788599704151	0.0424914728544499	0.0314906748958239	0.0183377368082324	0.0283595410559685	0.027193766793481	0.184099743063643	0.208807866474816	0.380419892781973
731.6094	SM	(d18:1/18:0)	0.0188721021248224	0.0214532827848262	0.0243045378699508	0.0196809359217836	0.0106158678384031	0.00994874990573404	0.0106915661615607	0.00239957147995086	0.00509465668895971	1.01653930456945
781.6235	SM	(d18:1/22:3)	0.016444149408737	0.0170593786892569	0.02225478850476	0.0163355095070748	0.00744595964700875	0.00993491562100208	0.0114283405643158	0.00588812605560977	0.0100705648014596	0.908307825744501
807.6368	SM	(d18:1/24:4)	0.00532721250393628	0.00533488629220218	0.00675984751547303	0.00517159534459373	0.00467048709275274	0.00852160555792165	0.00911699120331797	0.327150267862278	0.354275792584527	-0.396758329811564
825.6841	SM	(d19:0/24:3)	1.16652062042182e-05	6.17091389015907e-05	1.27083497216429e-05	7.52659948000964e-06	1.86111013455807e-06	2.10093719226431e-05	1.22175483015831e-05	0.448797559572288	0.476432877279942	1.00063531500594
799.6709	SM	(d18:1/23:1)	0.00192596934419751	0.00197216920618295	0.00234137852005474	0.00181869002715719	0.00158261666810002	0.0023172063454621	0.0024091314902963	0.778374075508073	0.800666411799473	-0.0619795627895204
759.6405	SM	(d20:0/18:1)	0.050484088662599	0.0542462878798353	0.0703327000424555	0.0522036314229266	0.0215436719435831	0.0286699426439108	0.0331550529100646	0.00384750568409301	0.00708664508480379	1.03177168031479
809.6537	SM	(d18:1/24:3)	0.0926926487826014	0.100254251300368	0.108711397074535	0.100780945578839	0.0335251392009472	0.0336999421130121	0.0372574918050488	7.08873900200016e-05	0.000650052448906823	1.53047116103928
