"LipidIon"	"FattyAcid"	"Class"	"nfur.PreD.Y.1"	"nfur.PreD.Y.2"	"nfur.PreD.Y.3"	"nfur.PreD.Y.4"	"nfur.NonD.2"	"nfur.NonD.3"	"nfur.NonD.4"	"nfur.D6d.1"	"nfur.D6d.2"	"nfur.D6d.3"	"nfur.D6d.4"	"nfur.D1m.1"	"nfur.D1m.2"	"nfur.D1m.3"	"nfur.D1m.4"	"Ast.PreD.Y.1"	"Ast.PreD.Y.2"	"Ast.PreD.Y.3"	"Ast.PreD.Y.4"	"nfur.Dexit.1"	"nfur.Dexit.2"	"nfur.Dexit.3"	"nfur.Dexit.4"
"TG(18:1/18:1/18:2)+NH4"	"(18:1/18:1/18:2)"	"TG"	0.120976503113393	0.0397353711212212	0.0900215289585673	0.135979995264115	0.0173828358011496	0.0157042115010007	0.0157678560320859	0.124239736228741	0.0378848925129538	0.112264100932999	0.209180837951397	0.0689284797902689	0.0634054146448934	0.078001881620787	0.0801550436777452	0.0199487856360115	0.025328734251025	0.0218971241374184	0.0190054889830206	0.0199249308324637	0.0254568916997138	0.0239558417624433	0.023870998543409
"TG(20:1/18:1/18:1)+NH4"	"(20:1/18:1/18:1)"	"TG"	0.0196543951728522	0.00538780224122865	0.00552671892882933	0.0116559243443617	0.00168364667512067	0.00233833053975582	0.00216692468318663	0.0181644445653808	0.00544550297935267	0.016291875041108	0.0314279311020739	0.0123875810371872	0.0108874538359246	0.0121019448432211	0.0122231465153053	0.00236831523384097	0.0028765291617491	0.00283580524307338	0.00277021698560464	0.00334422188257463	0.00423741819285742	0.00377786962023329	0.00355036510160878
"TG(12:0/12:0/14:0)+NH4"	"(12:0/12:0/14:0)"	"TG"	0.00387725744345672	0.00252240477572109	0.00164720229566429	0.00403509239289836	0.000981265730364505	0.000877810127025369	0.00142807661775309	0.0021099486208943	0.00478338507060262	0.00310870628488568	0.00293678593555389	0.00318741288895446	0.00301681411308962	0.00671459228380235	0.00293428768886827	0.00797832029033365	0.00990038698634236	0.0101393328759102	0.00493694340905407	0.0013057117861311	0.00132680651327466	0.000742269671838681	0.00128538147837553
"TG(16:1/14:0/14:0)+NH4"	"(16:1/14:0/14:0)"	"TG"	0.0146337199145376	0.00585531351385653	0.00300110452182068	0.0136482584669108	0.00150585931031969	0.00214920213594599	0.00201059144572771	0.010001508051859	0.00360658164881768	0.0117924872827799	0.0202450585331067	0.0114485988802259	0.00929111177293635	0.00557137474079705	0.00806185042768687	0.00622616941951348	0.0048932514630267	0.00550585459571802	0.00387590227552786	0.0023318856172187	0.00332302489887738	0.00155700238811239	0.00242039730541509
"TG(18:3/20:5/22:6)+NH4"	"(18:3/20:5/22:6)"	"TG"	0.0171935335107803	0.00721755549376992	0.00663887312246643	0.0173777441475771	0.00524281548012166	0.00435421491355951	0.00402507775704906	0.0208875741467438	0.00403558253457541	0.0154237114389903	0.0391220489227395	0.0131721007852328	0.0145578659352257	0.0120923608226329	0.0161686483725438	0.00027056794178312	0.000153909820224613	0.00016029869186785	0.000380205564036375	0.00636634146475463	0.00710192394515102	0.00620322032945049	0.00659730232607567
"TG(12:0/12:0/12:0)+NH4"	"(12:0/12:0/12:0)"	"TG"	0.00243080766119438	0.00154894592465125	0.000884685846742208	0.00234163125915197	0.00057087677028503	0.00051334438552778	0.000961774899526307	0.00115270374260424	0.00321319731257383	0.00194898173753448	0.00179481400613418	0.00195628610124388	0.00150049411776535	0.00495063635537318	0.00172280053548507	0.00414760408121992	0.00606301541449517	0.00671674542518318	0.0026140975863137	0.000804684474477493	0.000843895902834566	0.000499110761474576	0.000748813377847553
"TG(18:4/14:0/20:5)+NH4"	"(18:4/14:0/20:5)"	"TG"	0.0214906115854959	0.00813039473114494	0.00600798291109151	0.0222622634441151	0.0016981098481229	0.00297457672970456	0.00198978405506129	0.014896088928206	0.00199615724947434	0.0119737600901551	0.0325435563463932	0.00953455457457437	0.0113638763557487	0.00484443447151155	0.00978543851348088	0.000638804790848676	0.000446949945906849	0.000361199908331063	0.000511597402479975	0.00247201397461614	0.00273730043343812	0.00286391723707587	0.00295352119726597
"TG(16:0/22:6/22:6)+NH4"	"(16:0/22:6/22:6)"	"TG"	0.195631404416806	0.0791830812273197	0.0555893793566525	0.142862435636666	0.0594461800378983	0.0788093143991832	0.0769125559248215	0.386168731037077	0.139000382344933	0.313319452768269	0.498348049157508	0.277289263079549	0.28819209315538	0.152894712960171	0.313737093680625	0.0241838510240949	0.0183441054212648	0.0189852794199089	0.0212789560526558	0.0563275782872142	0.0837157802271669	0.065362750793706	0.0850007579264553
"TG(17:0/18:1/18:1)+NH4"	"(17:0/18:1/18:1)"	"TG"	0.0214353212002324	0.00646570892195867	0.0152121632228333	0.0211023379311282	0.00287563148375465	0.00299099200874909	0.00284920019529131	0.0187770487629488	0.00682416922222636	0.0196112886794108	0.0334319508624852	0.0131355234096414	0.0111230782585448	0.013578529487491	0.0126934604725481	0.00397805905266429	0.00444319613164927	0.00399058285153132	0.00381015928153061	0.00409725274350045	0.00508262483742689	0.00429289238754822	0.00417219639280443
"TG(18:4/14:0/18:3)+NH4"	"(18:4/14:0/18:3)"	"TG"	1.56770078922473e-05	0	2.7521083830624e-06	1.8804705710127e-05	8.64826541040142e-07	8.95715530092696e-07	2.19665144340132e-06	7.12480588127085e-06	2.882946708869e-06	0	1.47193996374208e-05	3.47684285243784e-06	0	0	7.83150894198086e-06	0	0	0	0	8.83119302163712e-07	3.81051669611525e-06	1.67652611357623e-06	3.63879702400806e-06
"TG(16:0/17:1/22:6)+NH4"	"(16:0/17:1/22:6)"	"TG"	0.130140727408966	0.0507454756039816	0.0749796644840373	0.131534351265513	0.0263466120342752	0.0266630891398427	0.0241799000600394	0.156671536041637	0.049264836935117	0.150993060928982	0.248894064492005	0.0949551673747123	0.0978811993343117	0.0824569656821403	0.111924435025337	0.0130018555325674	0.0107863437296125	0.0117322739993321	0.014511763027501	0.0247710307520097	0.0316761597232626	0.0284594672704092	0.0347962827282173
"TG(16:0/16:0/18:1)+NH4"	"(16:0/16:0/18:1)"	"TG"	0.268609862586261	0.0935352978085883	0.133780306487734	0.213918074500209	0.0500142647990338	0.0668642338713461	0.0579148272998842	0.289048289786685	0.111060148572824	0.282975255759143	0.426303619650355	0.185763852861206	0.187606348649142	0.129064819313071	0.189336756095049	0.0410743663160783	0.0527570543739925	0.0417873211845932	0.041773919584837	0.0515400692331616	0.0671200036168047	0.0550387832385049	0.0667137321833267
"TG(16:0/16:1/18:3)+NH4| TG(18:4/16:0/16:0)+NH4"	"(18:4/16:0/16:0)"	"TG"	0.189174076108165	0.0716682781113564	0.114556014474688	0.225801835395295	0.0281357568831976	0.0237651023692252	0.0206869043290758	0.18490329151137	0.0392482177201138	0.167928825899563	0.349114544951468	0.0974494175784991	0.102134235374662	0.098913596650609	0.125438165337334	0.0073712168079191	0.00759872289031143	0.00671872570846204	0.00923441769585464	0.0263339835987931	0.032913675544139	0.0349651067589496	0.0355599890768469
"TG(16:0/22:5/22:5)+NH4"	"(16:0/22:5/22:5)"	"TG"	0.0772790596200876	0.0272599348202904	0.0302633030761643	0.058919913033052	0.019037051618869	0.0219175260054909	0.0219134684397285	0.152776744929622	0.0520562221954116	0.111028760100979	0.202093972296691	0.097208198658101	0.101063117823338	0.0678100818653089	0.119128834195411	0.00688393171652294	0.00648332786083621	0.0065793211099648	0.0072208587762666	0.020607046555238	0.0298472980971436	0.0242030445885284	0.0295706325203247
"TG(16:0/17:1/18:1)+NH4"	"(16:0/17:1/18:1)"	"TG"	0.0671836882810975	0.0221877197920148	0.0489515483851556	0.0731495283117003	0.00996437038986567	0.0101997809838221	0.00968799667135247	0.0602617806359505	0.0186465936269049	0.0648353281789432	0.107793897391924	0.0397993071483547	0.0336406130445028	0.0376190282812604	0.0402261076052429	0.0124198004774571	0.0115463542404457	0.0121069790634518	0.0104511521252017	0.0122169640008284	0.015611665329103	0.0130567031951835	0.0135873004430855
